year,ebitda,interest,fees,principal,debt_service,dscr,debt_ye
1,148530020.0,0.0,0.0,0.0,0.0,,0.0
2,1413646899.1999998,7200000.0,1200000.0,0.0,8400000.0,168.2912975238095,80000000.0
3,4929999157.76,6600000.0,733333.3333333333,26666666.666666668,34000000.0,144.99997522823531,53333333.33333333
4,5044090271.231999,4199999.999999999,466666.6666666666,26666666.666666668,31333333.333333336,160.98160440102126,26666666.666666664
5,4919517103.7798395,1799999.999999999,199999.99999999988,26666666.666666657,28666666.666666657,171.6110617597619,0.0
