year,ha_end,tonnes,revenue,ebitda,ebit,tax,npat,net_margin,capex,fcf,closing_cash,cum_buffer
1,3,74.0,169800000.0,148530020.0,147613353.33333334,50188540.13333334,97424813.2,0.5737621507656067,5500000.0,92841479.86666667,100841479.86666667,48712406.6
2,27,786.0,1607400000.0,1413646899.1999998,1407896899.1999998,478684945.728,929211953.4719999,0.5780838331914893,38000000.0,896961953.4719999,997803433.3386666,513318383.33599997
3,100,3240.0,5738472000.0,4929999157.76,4906082491.093333,1668068046.9717333,3238014444.1216,0.5642642229711324,113000000.0,3148931110.7882667,4146734544.126933,2132325605.3968
4,100,3800.0,6082200000.0,5044090271.231999,5017840271.231999,1706065692.21888,3311774579.0131197,0.5445027422664693,0.0,3338024579.0131197,7484759123.140053,3788212894.90336
5,100,3800.0,6082200000.0,4919517103.7798395,4893267103.7798395,1663710815.2851455,3229556288.4946938,0.5309848884440982,0.0,3255806288.4946938,10740565411.634747,5402991039.150707
