year,label,closing_fleet,avg_fleet,gross,opex,ebitda,npat,capex,fcf,npat_margin
1,Y1 2027,350,175.0,1057770000,709703040,348066960,53346966,1847500000,322846966,0.0504
2,Y2 2028,2000,1175.0,7102170000,5252353760,1849816240,210365227,6352500000,-5022134773,0.0296
3,Y3 2029,5000,3500.0,21155400000,15280307200,5875092800,1375038011,11550000000,-6984961989,0.0650
4,Y4 2030,10000,7500.0,45333000000,32506707520,12826292480,3480752594,19250000000,-8969247406,0.0768
5,Y5 2031,15000,12500.0,75555000000,53913220742,21641779258,6852318116,19250000000,-1147681884,0.0907
6,Y6 2032,20000,17500.0,105777000000,75322087151,30454912849,10222285824,19250000000,5472285824,0.0966
