year,label,closing_fleet,avg_fleet,gross,opex,ebitda,npat,capex,fcf,npat_margin
1,Y1 2027,500,250.0,2195817188,1024296319,1171520869,571392670,2330000000,901392670,0.2602
2,Y2 2028,2000,1250.0,10979085938,6221744484,4757341453,2333954847,4950000000,-1416045153,0.2126
3,Y3 2029,5000,3500.0,30741440625,17127060556,13614380069,7003464067,9900000000,-76535933,0.2278
4,Y4 2030,10000,7500.0,65874515625,36475750426,29398765199,15480361570,16500000000,4980361570,0.2350
5,Y5 2031,16000,13000.0,114182493750,63002963380,51179530370,27580661121,19800000000,18220661121,0.2415
6,Y6 2032,20000,18000.0,158098837500,87002391726,71096445774,39311686680,13200000000,38831686680,0.2487
